FRED Graph Observations,
2009-11-01,#N/A
2009-12-01,96.98
2010-01-01,#N/A
2010-02-01,93.852
2010-03-01,#N/A
2010-04-01,94.373
2010-05-01,#N/A
2010-06-01,94.272
2010-07-01,#N/A
2010-08-01,94.636
2010-09-01,#N/A
2010-10-01,95.354
2010-11-01,#N/A
2010-12-01,95.115
2011-01-01,#N/A
2011-02-01,95.651
2011-03-01,#N/A
2011-04-01,94.929
2011-05-01,#N/A
2011-06-01,95.562
2011-07-01,#N/A
2011-08-01,96.692
2011-09-01,#N/A
2011-10-01,96.885
2011-11-01,#N/A
2011-12-01,96.165
2012-01-01,#N/A
2012-02-01,96.614
2012-03-01,#N/A
2012-04-01,96.174
2012-05-01,#N/A
2012-06-01,98.033
2012-07-01,#N/A
2012-08-01,99.166
2012-09-01,#N/A
2012-10-01,99.867
2012-11-01,#N/A
2012-12-01,97.182
2013-01-01,#N/A
2013-02-01,98.517
2013-03-01,#N/A
2013-04-01,98.124
2013-05-01,#N/A
2013-06-01,97.781
2013-07-01,#N/A
2013-08-01,96.931
2013-09-01,#N/A
2013-10-01,96.645
2013-11-01,#N/A
2013-12-01,94.198
2014-01-01,#N/A
2014-02-01,94.096
2014-03-01,#N/A
2014-04-01,95.908
2014-05-01,#N/A
2014-06-01,95.482
2014-07-01,#N/A
2014-08-01,95.96
2014-09-01,#N/A
2014-10-01,96.519
2014-11-01,#N/A
2014-12-01,96.168
2015-01-01,#N/A
2015-02-01,97.369
2015-03-01,#N/A
2015-04-01,96.219
2015-05-01,#N/A
2015-06-01,95.725
2015-07-01,#N/A
2015-08-01,96.654
2015-09-01,#N/A
2015-10-01,97.074
2015-11-01,#N/A
2015-12-01,95.739
2016-01-01,#N/A
2016-02-01,96.472
2016-03-01,#N/A
2016-04-01,97.501
2016-05-01,#N/A
2016-06-01,99.531
2016-07-01,#N/A
2016-08-01,98.644
2016-09-01,#N/A
2016-10-01,95.383
2016-11-01,#N/A
2016-12-01,94.098
2017-01-01,#N/A
2017-02-01,94.719
2017-03-01,#N/A
2017-04-01,95.171
2017-05-01,#N/A
2017-06-01,95.793
2017-07-01,#N/A
2017-08-01,93.215
2017-09-01,#N/A
2017-10-01,95.407
2017-11-01,#N/A
2017-12-01,98.759
2018-01-01,#N/A
2018-02-01,97.377
2018-03-01,#N/A
2018-04-01,96.814
2018-05-01,#N/A
2018-06-01,96.805
2018-07-01,#N/A
2018-08-01,95.712
2018-09-01,#N/A
2018-10-01,95.557
2018-11-01,#N/A
2018-12-01,97.984
2019-01-01,#N/A
2019-02-01,99.359
2019-03-01,#N/A
2019-04-01,99.473
2019-05-01,#N/A
2019-06-01,98.301
2019-07-01,#N/A
2019-08-01,97.304
2019-09-01,#N/A
2019-10-01,97.218
2019-11-01,#N/A
2019-12-01,101.751
2020-01-01,#N/A
2020-02-01,97.615
2020-03-01,#N/A
2020-04-01,95.375
2020-05-01,#N/A
2020-06-01,97.752
2020-07-01,#N/A
2020-08-01,97.927
2020-09-01,#N/A
2020-10-01,99.765
2020-11-01,#N/A
2020-12-01,100.304
2021-01-01,#N/A
2021-02-01,100.265
2021-03-01,#N/A
2021-04-01,98.987
2021-05-01,#N/A
2021-06-01,102.75
2021-07-01,#N/A
2021-08-01,111.782
2021-09-01,#N/A
2021-10-01,114.965
2021-11-01,#N/A
2021-12-01,109.081
2022-01-01,#N/A
2022-02-01,108.799
2022-03-01,#N/A
2022-04-01,109.681
